x,y,associated,offered_mbps,goodput_mbps,avg_rtt_ms,rtt_replies,tx_bytes,rx_bytes,loss_ratio,rssi_est_dbm,snr_est_db,seed,run,standard,transport,rateControl,channelWidth
16.000000,1.000000,1,9.996800,6.534400,148.465451,14,3748800,2450400,0.346351,-62.826697,31.163003,1,137,ax,udp,adaptive,20
16.000000,3.000000,1,9.996800,6.540800,148.448331,14,3748800,2452800,0.345711,-63.026388,30.963312,1,138,ax,udp,adaptive,20
16.000000,5.000000,1,9.996800,6.534400,148.516450,14,3748800,2450400,0.346351,-63.408295,30.581405,1,139,ax,udp,adaptive,20
16.000000,7.000000,1,9.996800,6.534400,148.178152,14,3748800,2450400,0.346351,-63.942198,30.047502,1,140,ax,udp,adaptive,20
16.000000,9.000000,1,9.996800,6.560000,147.185650,14,3748800,2460000,0.343790,-64.592149,29.397552,1,141,ax,udp,adaptive,20
16.000000,-11.000000,1,9.996800,6.537600,151.791317,13,3748800,2451600,0.346031,-65.322820,28.666880,1,131,ax,udp,adaptive,20
16.000000,-13.000000,1,9.996800,6.588800,149.617954,13,3748800,2470800,0.340909,-66.103534,27.886166,1,130,ax,udp,adaptive,20
16.000000,-15.000000,1,9.996800,6.540800,152.036200,13,3748800,2452800,0.345711,-66.909876,27.079824,1,129,ax,udp,adaptive,20
16.000000,-1.000000,1,9.996800,6.563200,149.418428,14,3748800,2461200,0.343470,-62.826697,31.163003,1,136,ax,udp,adaptive,20
16.000000,-3.000000,1,9.996800,6.569600,147.539565,14,3748800,2463600,0.342830,-63.026388,30.963312,1,135,ax,udp,adaptive,20
16.000000,-5.000000,1,9.996800,6.595200,147.121246,14,3748800,2473200,0.340269,-63.408295,30.581405,1,134,ax,udp,adaptive,20
16.000000,-7.000000,1,9.996800,6.601600,345.920820,12,3748800,2475600,0.339629,-63.942198,30.047502,1,133,ax,udp,adaptive,20
16.000000,-9.000000,1,9.996800,6.588800,146.641484,14,3748800,2470800,0.340909,-64.592149,29.397552,1,132,ax,udp,adaptive,20
18.000000,11.000000,1,9.996800,6.592000,344.951737,12,3748800,2472000,0.340589,-66.403100,27.586600,1,158,ax,udp,adaptive,20
18.000000,13.000000,1,9.996800,6.409600,156.464941,13,3748800,2403600,0.358835,-67.070404,26.919296,1,159,ax,udp,adaptive,20
18.000000,15.000000,1,9.996800,6.316800,247.017062,13,3748800,2368800,0.368118,-67.771285,26.218415,1,160,ax,udp,adaptive,20
18.000000,1.000000,1,9.996800,6.566400,147.654389,14,3748800,2462400,0.343150,-64.355950,29.633750,1,153,ax,udp,adaptive,20
18.000000,3.000000,1,9.996800,6.576000,146.358794,14,3748800,2466000,0.342190,-64.514364,29.475337,1,154,ax,udp,adaptive,20
18.000000,5.000000,1,9.996800,6.528000,147.496694,14,3748800,2448000,0.346991,-64.820081,29.169619,1,155,ax,udp,adaptive,20
18.000000,7.000000,1,9.996800,6.569600,151.332648,13,3748800,2463600,0.342830,-65.253332,28.736368,1,156,ax,udp,adaptive,20
18.000000,9.000000,1,9.996800,6.588800,147.930798,14,3748800,2470800,0.340909,-65.789525,28.200175,1,157,ax,udp,adaptive,20
18.000000,-11.000000,1,9.996800,6.572800,151.500667,13,3748800,2464800,0.342510,-66.403100,27.586600,1,147,ax,udp,adaptive,20
18.000000,-13.000000,1,9.996800,6.560000,147.577901,13,3748800,2460000,0.343790,-67.070404,26.919296,1,146,ax,udp,adaptive,20
18.000000,-15.000000,1,9.996800,5.859200,288.865868,13,3748800,2197200,0.413892,-67.771285,26.218415,1,145,ax,udp,adaptive,20
18.000000,-1.000000,1,9.996800,6.601600,146.807909,14,3748800,2475600,0.339629,-64.355950,29.633750,1,152,ax,udp,adaptive,20
18.000000,-3.000000,1,9.996800,6.601600,146.544583,14,3748800,2475600,0.339629,-64.514364,29.475337,1,151,ax,udp,adaptive,20
18.000000,-5.000000,1,9.996800,6.547200,146.838097,14,3748800,2455200,0.345070,-64.820081,29.169619,1,150,ax,udp,adaptive,20
18.000000,-7.000000,1,9.996800,6.537600,148.435137,14,3748800,2451600,0.346031,-65.253332,28.736368,1,149,ax,udp,adaptive,20
18.000000,-9.000000,1,9.996800,6.588800,147.869656,14,3748800,2470800,0.340909,-65.789525,28.200175,1,148,ax,udp,adaptive,20
20.000000,11.000000,1,9.996800,6.601600,147.839014,14,3748800,2475600,0.339629,-67.430266,26.559434,1,174,ax,udp,adaptive,20
20.000000,13.000000,1,9.996800,6.572800,146.986146,14,3748800,2464800,0.342510,-68.004384,25.985316,1,175,ax,udp,adaptive,20
20.000000,15.000000,1,9.996800,6.390400,157.580118,13,3748800,2396400,0.360755,-68.615900,25.373800,1,176,ax,udp,adaptive,20
20.000000,1.000000,1,9.996800,6.432000,136.693388,14,3748800,2412000,0.356594,-65.724866,28.264834,1,169,ax,udp,adaptive,20
20.000000,3.000000,1,9.996800,6.553600,148.806391,14,3748800,2457600,0.344430,-65.853550,28.136150,1,170,ax,udp,adaptive,20
20.000000,5.000000,1,9.996800,6.556800,148.440771,14,3748800,2458800,0.344110,-66.103534,27.886166,1,171,ax,udp,adaptive,20
20.000000,7.000000,1,9.996800,6.566400,148.420114,14,3748800,2462400,0.343150,-66.461395,27.528305,1,172,ax,udp,adaptive,20
20.000000,9.000000,1,9.996800,6.556800,148.295973,14,3748800,2458800,0.344110,-66.909876,27.079824,1,173,ax,udp,adaptive,20
20.000000,-11.000000,1,9.996800,6.403200,157.358400,13,3748800,2401200,0.359475,-67.430266,26.559434,1,163,ax,udp,adaptive,20
20.000000,-13.000000,1,9.996800,6.540800,149.423120,13,3748800,2452800,0.345711,-68.004384,25.985316,1,162,ax,udp,adaptive,20
20.000000,-15.000000,1,9.996800,6.582400,147.929782,14,3748800,2468400,0.341549,-68.615900,25.373800,1,161,ax,udp,adaptive,20
